Species	BIO1
Allocephalus_gamolepis	211.667
Baccharoides_anthelmintica	196.5
Centrapalus_pauciflorus	196.308
Centratherum_punctatum	227.861
Chresta_angustifolia	216.064
Chresta_artemisiifolia	206.286
Chresta_curumbensis	222.956
Chresta_exsucca	223.024
Chresta_filicifolia	197.778
Chresta_harleyi	218.649
Chresta_hatschbachii	211.3
Chresta_heteropappa	194.5
Chresta_martii	246.21
Chresta_pacourinoides	235.179
Chresta_plantaginifolia	193.985
Chresta_pycnocephala	207.5
Chresta_scapigera	209.755
Chresta_souzae	208
Chresta_speciosa	227.356
Chresta_sphaerocephala	204.284
Chresta_subverticillata	209
Chronopappus_bifrons	180.065
Cyrtocymura_scorpioides	212.329
Distephanus_ambongensis	211.2
Elephantopus_mollis	217.343
Elephantopus_tomentosus	161.745
Eremanthus_auriculatus	198.545
Eremanthus_crotonoides	196.962
Eremanthus_erythropappus	187.578
Eremanthus_incanus	197.055
Gorceixia_decurrens	215.111
Gymnanthemum_amygdalinum	232.144
Heterocoma_ekmaniana	209.458
Heterocypsela_andersonii	209.111
Hololepis_pedunculata	183.185
Lepidaploa_opposita	175.583
Lessingianthus_durus	223.874
Lessingianthus_monocephalus	230
Lychnophora_brunioides	184.182
Lychnophora_granmogolensis	203.18
Lychnophora_haplopappa	124
Lychnophora_hatschbachii	186
Lychnophorella_leucodendron	176.25
Lychnophorella_morii	199.522
Lychnophorella_santosii	189.623
Maschalostachys_mellosilvae	196.706
Minasia_pereirae	187.84
Moquinia_racemosa	197.461
Munnozia_gigantea	174.76
Paralychnophora_harleyi	203.511
Piptolepis_ericoides	193.273
Pseudostifftia_kingii	190.491
Soaresia_velutina	215.974
Stilpnopappus_speciosus	225.73
Stilpnopappus_tomentosus	202.355
Stokesia_laevis	168.792
Vernonanthura_patens	221.735
Vernonia_gigantea	120.636
Vernonia_missurica	99.6364
Vernoniastrum_ambiguum	264.767
Juglans_cinerea	77.3261
Juglans_elaeopyrem	41
Juglans_guatemalensis	87
Juglans_hindsii	151.956
Juglans_hirsuta	184.524
Juglans_jamaicensis	202.562
Juglans_major	147.286
Juglans_mandshurica	94.5147
Juglans_microcarpa	171.927
Juglans_mollis	185.253
Juglans_neotropica	155.063
Juglans_nigra	112.877
Juglans_olanchana	204.03
Juglans_oregoniana	52.5
Juglans_pyriformis	185.256
Juglans_regia	118.455
Juglans_rupestris	101.333
Juglans_sieboldiana	49.5
Juglans_sigillata	142.692
Casuarina_distyla	70.3333
Casuarina_equisetifolia	242.359
Casuarina_glauca	181.29
Casuarina_inophloia	87
Casuarina_junghuhniana	180.667
Casuarina_littoralis	134.667
Casuarina_luehmannii	78
Casuarina_muelleriana	87
