TAXON,BIO12
Albertinia_brasiliensis,1158.05
Allocephalus_gamolepis,1033.67
Baccharoides_anthelmintica,1066.15
Centrapalus_pauciflorus,773.154
Centratherum_punctatum,1521.85
Chresta_angustifolia,NA
Chresta_artemisiifolia,512.714
Chresta_curumbensis,1565.75
Chresta_exsucca,1509.69
Chresta_filicifolia,1089.33
Chresta_harleyi,807.702
Chresta_hatschbachii,675.2
Chresta_heteropappa,768.5
Chresta_martii,572.42
Chresta_pacourinoides,856.98
Chresta_plantaginifolia,1512.98
Chresta_pycnocephala,1165.11
Chresta_scapigera,1513.65
Chresta_souzae,1729.12
Chresta_speciosa,1638.5
Chresta_sphaerocephala,1440.92
Chresta_subverticillata,636.375
Chronopappus_bifrons,1431.1
Cyrtocymura_scorpioides,1494.5
Distephanus_ambongensis,1028.4
Elephantopus_mollis,1956.87
Elephantopus_tomentosus,1317.14
Eremanthus_auriculatus,1559
Eremanthus_crotonoides,NA
Eremanthus_erythropappus,1498.55
Eremanthus_incanus,1327.79
Gorceixia_decurrens,979.417
Gymnanthemum_amygdalinum,1594.72
Heterocoma_ekmaniana,1698.42
Heterocypsela_andersonii,897.333
Hololepis_pedunculata,1516.56
Lepidaploa_opposita,1237.83
Lessingianthus_durus,1479.34
Lessingianthus_monocephalus,1564.22
Lychnophora_brunioides,1398.41
Lychnophora_granmogolensis,1025.98
Lychnophora_haplopappa,915.667
Lychnophora_hatschbachii,1274.81
Lychnophorella_leucodendron,898.55
Lychnophorella_morii,832.13
Lychnophorella_santosii,913.607
Maschalostachys_mellosilvae,836.706
Minasia_pereirae,1423.04
Moquinia_racemosa,1242.91
Munnozia_gigantea,NA
Paralychnophora_harleyi,905.859
Piptolepis_ericoides,1370.36
Pseudostifftia_kingii,920.755
Soaresia_velutina,1547.23
Stilpnopappus_speciosus,1531.65
Stilpnopappus_tomentosus,827.271
Stokesia_laevis,1371.22
Vernonanthura_patens,2070.14
Vernonia_gigantea,1098.36
Vernonia_missurica,870.909
Vernoniastrum_ambiguum,1103.33
Abarema_cochliacarpos,1126.44
Abarema_cochliocarpos,1118.48
Abarema_commutata,1633.25
Abarema_curvicarpa,2348.11
Archidendron_dalatense,953
Abarema_ferruginea,1170
Abarema_filamentosa,1508.36
Abarema_floribunda,2548.67
Abarema_ganymedea,2567.56
Abarema_glauca,1149.11
Acacia_acanthoclada,310.535
Acacia_acinacea,596.783
Acacia_aciphylla,363.467
