SMSA	PLINE	PERSON	HERE	PQOTHNR	PQSALNR	PQSELFNR	PQALIM	PQDIV	PQINT	PQOTHER	PQRENT	PQRETIR	PQSAL	PQSELF	PQSS	PQSSI	PQWELF	PQWKCMP	RNTDUE	LODRNT	FOOD	LODSTA	WLINEQ	MOVM	MOVE	TEN	MVG	PHEAR	PSEE	PMEMRY	PWALK	PCARE	PERRND	CITSHP	JITSHP	NATVTY	REL	AGE	SEX	MAR	PAR	GRAD	SPOS	SPAN	JREL	JAGE	JSEX	JMAR	JPAR	JSPAN	JGRAD	JSPOS	FAMNUM	FAMTYP	FAMREL	INUSYR	JATVTY	JNUSYR	JTEN	JMOVE	JMOVM	JMVG	JHERE	JPQSAL	JPQSELF	JPQINT	JPQSS	JPQSSI	JPQWELF	JPQRETIR	JPQALIM	JPQOTHER	JPQSALNR	JPQSLFNR	JPQOTHNR	JPQDIV	JPQRENT	JPQWKCMP	RACE	PVOTHER	JSAL	SAL	JRACE	JPVOTHER	CONTROL
5560	1	1	B	B	B	B	2	1	1	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	2004	X	B	2	2	2	2	2	2	4	 	316	1	46	1	1	 	44	2	1	 	 	 	 	 	 	 	 	1	1	1	1969	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	201	 	107000	 	 	000000018872
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	2004	X	B	2	2	2	2	2	2	1	 	057	20	44	2	1	 	44	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	60000	 	 	000000018872
5560	3	3	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	11	2004	 	B	2	2	2	2	2	2	1	 	057	22	19	2	6	1	39	 	1	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	10000	 	 	000000018872
5560	4	4	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	11	2004	 	B	2	2	2	2	2	B	1	 	057	22	7	2	B	1	 	 	1	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000018872
5560	1	1	B	B	B	B	2	2	2	2	2	2	2	2	2	1	2	2	 	 	B	B	2	3	2001	X	B	2	2	2	2	2	2	1	 	057	2	60	2	2	 	44	 	2	 	 	 	 	 	 	 	 	0	2	0	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	1700	 	0	 	 	000000000009
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	6	2005	X	B	2	2	2	2	2	2	1	 	057	1	42	1	1	 	44	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	0	 	50000	 	 	000000018874
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	6	2005	X	B	2	2	2	2	2	2	1	 	057	20	36	2	1	 	47	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	0	 	30000	 	 	000000018874
5560	3	3	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	6	2005	 	B	2	2	2	2	2	B	1	 	057	22	9	2	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	 	 	 	 	 	000000018874
5560	4	4	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	6	2005	 	B	2	2	2	2	2	B	1	 	057	22	6	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	 	 	 	 	 	000000018874
5560	5	5	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	6	2005	 	B	2	2	2	2	2	B	1	 	057	22	6	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	 	 	 	 	 	000000018874
