SMSA	PERSON	PASS	TRAN	TIMEJ	DISTJ	WHHRW	WHHRB	AMPM	HJOB	VEHCL	WHDY	WHOME	WTIME	JTRAN	JVEHCL	JPASS	JTIMEJ	JDISTJ	JWTIME	JWHHRW	JWHHRB	JWHDY	CONTROL
5560	1	 	2	10	8	3	0	1	1	1	0	1	0800	 	 	 	 	 	 	 	 	 	000000018872
5560	2	 	1	30	15	 	0	1	1	1	B	2	0830	 	 	 	 	 	 	 	 	 	000000018872
5560	3	 	1	20	15	 	2	1	1	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000018872
5560	1	 	2	20	15	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000018874
5560	2	 	1	120	80	5	0	1	2	1	0	1	0800	 	 	 	 	 	 	 	 	 	000000018874
5560	1	 	1	30	3	 	0	1	1	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000000019
5560	1	 	1	15	8	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000018876
5560	2	 	1	10	5	 	0	1	1	1	B	2	0530	 	 	 	 	 	 	 	 	 	000000018876
5560	1	 	1	20	3	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000000023
5560	2	 	1	10	5	 	0	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000018877
5560	1	 	1	15	7	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000000026
5560	1	 	1	10	5	 	0	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000000030
5560	1	2	2	105	80	 	0	D	1	2	B	2	D	 	 	 	 	 	 	 	 	 	000000018879
5560	3	2	2	105	80	 	0	D	1	2	B	2	D	 	 	 	 	 	 	 	 	 	000000018879
5560	1	 	2	30	35	 	0	1	1	1	B	2	0515	 	 	 	 	 	 	 	 	 	000000018880
5560	2	 	1	20	22	 	40	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000018880
5560	1	 	2	2	0	 	7	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000000036
5560	2	 	2	45	25	 	0	1	1	1	B	2	1000	 	 	 	 	 	 	 	 	 	000000000036
5560	1	 	1	25	20	45	0	1	1	1	4	1	1130	 	 	 	 	 	 	 	 	 	000000000038
5560	1	 	3	10	3	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000018882
5560	2	 	1	30	25	 	0	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000018882
5560	2	 	1	20	13	 	0	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000000040
5560	1	 	1	25	15	 	0	2	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000018883
5560	2	 	1	20	12	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000018883
5560	1	 	1	15	7	 	0	1	1	1	B	2	1100	 	 	 	 	 	 	 	 	 	000000018884
5560	1	 	1	30	10	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000000041
5560	2	 	2	20	10	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000000041
5560	1	 	2	10	6	 	0	1	1	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000018885
5560	1	 	1	15	6	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000018886
5560	2	 	1	25	20	 	0	1	1	1	B	2	0430	 	 	 	 	 	 	 	 	 	000000018886
5560	1	 	1	25	9	 	0	1	1	1	B	2	0545	 	 	 	 	 	 	 	 	 	000000000044
5560	2	13	1	45	25	 	0	1	1	2	B	2	0545	 	 	 	 	 	 	 	 	 	000000000044
5560	3	 	1	16	9	 	0	1	1	1	B	2	1000	 	 	 	2	 	 	 	 	 	000000000044
5560	1	 	1	20	8	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000018887
5560	2	 	1	15	7	 	2	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000018887
5560	1	 	1	25	9	 	2	1	1	1	B	2	0915	 	 	 	 	 	 	 	 	 	000000000045
5560	2	 	1	8	3	 	0	1	1	1	B	2	0740	 	 	 	 	 	 	 	 	 	000000000045
5560	1	 	2	30	20	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000018888
5560	1	 	1	15	5	 	0	2	1	1	B	2	0500	 	 	 	 	 	 	 	 	 	000000016908
5560	2	 	1	30	10	 	0	2	1	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000016908
5560	1	 	2	60	30	 	0	1	2	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000016902
5560	1	 	2	60	30	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000016898
5560	2	 	1	30	15	 	0	1	1	1	B	2	0800	 	 	 	 	2	 	 	 	 	000000016898
5560	3	 	1	30	15	 	0	1	1	1	B	2	1000	 	 	 	 	2	 	 	 	 	000000016898
5560	1	 	2	20	15	 	0	1	2	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000016890
