"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"1",1,"Truck",45,35,"female",33000,66,"Personal_vehicle",3.125
"3",10,"Truck",10,4,"female",0,63,"Personal_vehicle",0.694444444444444
"4",17,"Truck",60,40,"female",0,24,"Personal_vehicle",4.16666666666667
"5",19,"Car",30,3,"female",25000,34,"Personal_vehicle",2.08333333333333
"6",23,"Car",20,3,"male",35000,37,"Personal_vehicle",1.38888888888889
"7",26,"Car",15,7,"female",1,29,"Personal_vehicle",1.04166666666667
"8",28,"Car",10,2,"female",3000,45,"Personal_vehicle",0.694444444444444
"9",30,"Car",10,5,"female",60000,50,"Personal_vehicle",0.694444444444444
"10",31,"Car",20,15,"female",45000,48,"Personal_vehicle",1.38888888888889
"11",36,"Truck",2,0,"female",0,53,"Personal_vehicle",0.138888888888889
"12",37,"Truck",5,3,"male",54000,54,"Personal_vehicle",0.347222222222222
"13",38,"Car",25,20,"female",1,51,"Personal_vehicle",1.73611111111111
"14",40,"Car",20,13,"female",23000,39,"Personal_vehicle",1.38888888888889
"15",41,"Car",30,10,"male",160000,45,"Personal_vehicle",2.08333333333333
"16",44,"Car",25,9,"female",1,24,"Personal_vehicle",1.73611111111111
"17",45,"Car",25,9,"male",40000,51,"Personal_vehicle",1.73611111111111
"19",47,"Car",25,10,"female",2500,24,"Personal_vehicle",1.73611111111111
"20",48,"Truck",25,15,"female",55000,57,"Personal_vehicle",1.73611111111111
"21",51,"Truck",15,5,"male",0,63,"Personal_vehicle",1.04166666666667
"22",52,"Car",10,4,"male",262070,54,"Personal_vehicle",0.694444444444444
"23",53,"Truck",30,15,"female",0,71,"Personal_vehicle",2.08333333333333
"24",55,"Works_home",NA,NA,"female",0,46,"Other",NA
"25",56,"Car",10,6,"female",0,20,"Personal_vehicle",0.694444444444444
"28",61,"Car",5,3,"male",40000,26,"Personal_vehicle",0.347222222222222
"29",65,"Car",15,10,"female",60000,33,"Personal_vehicle",1.04166666666667
"30",66,"Car",15,20,"male",65000,49,"Personal_vehicle",1.04166666666667
"31",67,"Car",35,25,"female",0,18,"Personal_vehicle",2.43055555555556
"32",68,"Truck",20,12,"male",4000,55,"Personal_vehicle",1.38888888888889
"33",70,"Car",70,35,"male",19000,52,"Personal_vehicle",4.86111111111111
"34",71,"Walked",20,1,"male",50000,42,"Other",1.38888888888889
"35",72,"Car",60,50,"female",0,67,"Personal_vehicle",4.16666666666667
"36",74,"Truck",5,3,"female",30000,56,"Personal_vehicle",0.347222222222222
"37",79,"Car",10,3,"male",60000,65,"Personal_vehicle",0.694444444444444
"38",80,"Truck",45,40,"male",15000,34,"Personal_vehicle",3.125
"39",81,"Truck",15,10,"male",50000,63,"Personal_vehicle",1.04166666666667
"40",83,"Truck",15,5,"male",0,25,"Personal_vehicle",1.04166666666667
"41",89,"Car",15,10,"female",17000,31,"Personal_vehicle",1.04166666666667
"42",90,"Car",45,30,"female",3000,57,"Personal_vehicle",3.125
"43",94,"Truck",15,12,"female",10000,18,"Personal_vehicle",1.04166666666667
"44",95,"Bicycle",10,1,"male",40000,40,"Other",0.694444444444444
"45",103,"Truck",45,45,"female",0,52,"Personal_vehicle",3.125
"46",105,"Truck",120,100,"male",40000,55,"Personal_vehicle",8.33333333333333
"47",106,"Truck",10,7,"male",14000,30,"Personal_vehicle",0.694444444444444
"48",108,"Truck",10,6,"female",7802,65,"Personal_vehicle",0.694444444444444
"51",112,"Car",15,4,"female",70714,62,"Personal_vehicle",1.04166666666667
"52",113,"Truck",16,5,"male",0,51,"Personal_vehicle",1.11111111111111
"53",114,"Van",20,10,"male",21586,33,"Personal_vehicle",1.38888888888889
"54",117,"Car",55,35,"male",0,17,"Personal_vehicle",3.81944444444444
"56",120,"Car",30,5,"male",0,53,"Personal_vehicle",2.08333333333333
"57",123,"Van",40,35,"female",0,66,"Personal_vehicle",2.77777777777778
"59",130,"Truck",7,2,"female",0,60,"Personal_vehicle",0.486111111111111
"60",134,"Car",10,3,"female",27000,70,"Personal_vehicle",0.694444444444444
"61",137,"Car",15,5,"male",8000,20,"Personal_vehicle",1.04166666666667
"62",138,"Truck",20,26,"male",14000,69,"Personal_vehicle",1.38888888888889
"63",139,"Car",15,1,"male",14000,45,"Personal_vehicle",1.04166666666667
"65",143,"Truck",30,25,"female",600,26,"Personal_vehicle",2.08333333333333
"66",144,"Car",30,20,"female",0,70,"Personal_vehicle",2.08333333333333
"67",148,"Truck",7,7,"female",0,60,"Personal_vehicle",0.486111111111111
"68",149,"Truck",30,30,"female",0,67,"Personal_vehicle",2.08333333333333
"70",152,"Car",10,10,"female",7400,43,"Personal_vehicle",0.694444444444444
"71",153,"Car",45,45,"male",5000,18,"Personal_vehicle",3.125
"72",154,"Truck",15,5,"male",26000,61,"Personal_vehicle",1.04166666666667
"73",158,"Car",10,3,"female",0,61,"Personal_vehicle",0.694444444444444
"74",159,"Car",60,33,"male",0,50,"Personal_vehicle",4.16666666666667
"75",160,"Truck",15,5,"male",0,16,"Personal_vehicle",1.04166666666667
"76",161,"Car",20,10,"female",17000,24,"Personal_vehicle",1.38888888888889
"77",164,"Car",20,15,"female",0,17,"Personal_vehicle",1.38888888888889
"78",165,"Car",15,7,"female",39000,52,"Personal_vehicle",1.04166666666667
"79",168,"Car",30,22,"female",0,50,"Personal_vehicle",2.08333333333333
"80",169,"Car",10,6,"female",6000,22,"Personal_vehicle",0.694444444444444
"81",170,"Works_home",NA,NA,"male",0,24,"Other",NA
"82",171,"Car",15,5,"female",12000,51,"Personal_vehicle",1.04166666666667
"83",172,"Car",10,5,"female",20000,21,"Personal_vehicle",0.694444444444444
"84",176,"Truck",20,20,"female",44000,58,"Personal_vehicle",1.38888888888889
"85",178,"Van",5,5,"male",36000,31,"Personal_vehicle",0.347222222222222
"86",181,"Car",35,25,"female",32000,33,"Personal_vehicle",2.43055555555556
"87",182,"Car",20,21,"female",5000,63,"Personal_vehicle",1.38888888888889
"88",183,"Truck",10,8,"female",21000,53,"Personal_vehicle",0.694444444444444
"90",188,"Van",15,3,"female",0,57,"Personal_vehicle",1.04166666666667
"91",190,"Van",3,0,"female",0,70,"Personal_vehicle",0.208333333333333
"92",192,"Car",10,7,"male",21000,22,"Personal_vehicle",0.694444444444444
"93",193,"Car",10,8,"female",3700,62,"Personal_vehicle",0.694444444444444
"94",194,"Truck",20,10,"female",0,43,"Personal_vehicle",1.38888888888889
"95",197,"Car",20,15,"female",13554,26,"Personal_vehicle",1.38888888888889
"96",199,"Truck",20,10,"female",14000,54,"Personal_vehicle",1.38888888888889
"97",201,"Car",45,40,"female",31808,48,"Personal_vehicle",3.125
"98",202,"Car",10,6,"female",0,65,"Personal_vehicle",0.694444444444444
"99",203,"Car",40,40,"female",0,50,"Personal_vehicle",2.77777777777778
"100",204,"Car",45,20,"female",65000,55,"Personal_vehicle",3.125
"101",205,"Truck",15,7,"female",14500,25,"Personal_vehicle",1.04166666666667
"102",206,"Car",10,5,"male",16000,70,"Personal_vehicle",0.694444444444444
"103",211,"Car",60,42,"male",90000,55,"Personal_vehicle",4.16666666666667
"104",212,"Truck",120,100,"female",0,26,"Personal_vehicle",8.33333333333333
"105",213,"Car",15,10,"male",1,68,"Personal_vehicle",1.04166666666667
"106",215,"Car",7,2,"female",20000,26,"Personal_vehicle",0.486111111111111
"107",220,"Truck",15,20,"female",40000,32,"Personal_vehicle",1.04166666666667
"108",225,"Truck",40,20,"female",0,23,"Personal_vehicle",2.77777777777778
"110",228,"Truck",10,5,"male",32000,33,"Personal_vehicle",0.694444444444444
"111",229,"Truck",20,13,"female",15000,35,"Personal_vehicle",1.38888888888889
"112",231,"Truck",30,30,"female",42000,25,"Personal_vehicle",2.08333333333333
"113",233,"Truck",15,20,"male",23000,45,"Personal_vehicle",1.04166666666667
"114",241,"Car",5,3,"male",13200,65,"Personal_vehicle",0.347222222222222
"115",242,"Car",25,25,"female",30000,67,"Personal_vehicle",1.73611111111111
"116",247,"Car",10,10,"female",26000,66,"Personal_vehicle",0.694444444444444
"117",251,"Truck",30,5,"male",65000,42,"Personal_vehicle",2.08333333333333
"118",257,"Truck",15,3,"male",0,26,"Personal_vehicle",1.04166666666667
"119",262,"Truck",5,1,"female",42000,32,"Personal_vehicle",0.347222222222222
"120",264,"Car",35,40,"female",28000,27,"Personal_vehicle",2.43055555555556
"121",269,"Car",25,20,"male",0,80,"Personal_vehicle",1.73611111111111
"122",276,"Truck",1,0,"male",32000,46,"Personal_vehicle",0.0694444444444444
"123",277,"Truck",30,20,"male",40000,55,"Personal_vehicle",2.08333333333333
"124",279,"Truck",7,4,"male",70000,33,"Personal_vehicle",0.486111111111111
"125",281,"Truck",5,3,"male",26000,51,"Personal_vehicle",0.347222222222222
"126",282,"Car",20,20,"female",20000,45,"Personal_vehicle",1.38888888888889
"127",293,"Van",30,20,"female",1000,47,"Personal_vehicle",2.08333333333333
"128",294,"Walked",60,5,"female",8000,49,"Other",4.16666666666667
"129",296,"Car",7,2,"female",9600,32,"Personal_vehicle",0.486111111111111
"130",300,"Car",20,10,"female",0,17,"Personal_vehicle",1.38888888888889
"131",302,"Truck",30,11,"male",34291,44,"Personal_vehicle",2.08333333333333
"132",303,"Truck",30,30,"male",75000,60,"Personal_vehicle",2.08333333333333
"133",305,"Truck",5,2,"female",28000,26,"Personal_vehicle",0.347222222222222
"134",309,"Car",5,3,"female",10000,58,"Personal_vehicle",0.347222222222222
"136",313,"Truck",2,0,"female",0,71,"Personal_vehicle",0.138888888888889
"137",315,"Truck",15,11,"male",31000,42,"Personal_vehicle",1.04166666666667
"138",316,"Truck",30,30,"female",38000,25,"Personal_vehicle",2.08333333333333
"139",319,"Car",10,6,"female",0,30,"Personal_vehicle",0.694444444444444
"140",321,"Works_home",NA,NA,"female",13000,52,"Other",NA
"141",327,"Truck",70,58,"female",1,19,"Personal_vehicle",4.86111111111111
"142",328,"Truck",40,35,"female",45000,49,"Personal_vehicle",2.77777777777778
"143",335,"Car",10,5,"male",15800,37,"Personal_vehicle",0.694444444444444
"145",341,"Car",10,2,"male",46000,22,"Personal_vehicle",0.694444444444444
"146",344,"Truck",30,8,"female",0,84,"Personal_vehicle",2.08333333333333
"147",345,"Van",30,20,"male",30000,48,"Personal_vehicle",2.08333333333333
"148",347,"Truck",20,14,"female",24000,56,"Personal_vehicle",1.38888888888889
"149",350,"Bicycle",3,0,"female",15000,57,"Other",0.208333333333333
"150",351,"Truck",30,36,"female",12000,58,"Personal_vehicle",2.08333333333333
"151",352,"Truck",25,20,"female",11000,26,"Personal_vehicle",1.73611111111111
"152",354,"Car",100,40,"female",45000,46,"Personal_vehicle",6.94444444444444
"153",355,"Car",30,25,"male",165000,37,"Personal_vehicle",2.08333333333333
"154",356,"Car",45,22,"male",0,69,"Personal_vehicle",3.125
"156",359,"Car",5,5,"male",40000,35,"Personal_vehicle",0.347222222222222
"157",360,"Car",5,2,"female",55000,49,"Personal_vehicle",0.347222222222222
"158",362,"Truck",15,10,"male",0,27,"Personal_vehicle",1.04166666666667
"160",368,"Works_home",NA,NA,"female",120000,55,"Other",NA
"161",369,"Car",25,8,"female",0,21,"Personal_vehicle",1.73611111111111
"162",370,"Van",40,35,"male",35000,61,"Personal_vehicle",2.77777777777778
"164",376,"Car",20,26,"female",27000,40,"Personal_vehicle",1.38888888888889
"165",380,"Truck",10,2,"male",40000,43,"Personal_vehicle",0.694444444444444
"166",382,"Car",5,1,"male",47500,34,"Personal_vehicle",0.347222222222222
"167",385,"Car",10,5,"female",32000,28,"Personal_vehicle",0.694444444444444
"168",390,"Car",20,10,"female",18000,20,"Personal_vehicle",1.38888888888889
"169",392,"Car",30,12,"female",23000,60,"Personal_vehicle",2.08333333333333
"171",398,"Car",15,7,"male",24000,25,"Personal_vehicle",1.04166666666667
"172",400,"Car",15,10,"female",15000,61,"Personal_vehicle",1.04166666666667
"173",403,"Van",30,40,"male",17000,49,"Personal_vehicle",2.08333333333333
"174",410,"Car",5,3,"female",0,79,"Personal_vehicle",0.347222222222222
"175",411,"Truck",45,25,"female",35000,21,"Personal_vehicle",3.125
"177",416,"Truck",15,20,"female",0,43,"Personal_vehicle",1.04166666666667
"178",417,"Truck",5,6,"male",28880,19,"Personal_vehicle",0.347222222222222
"179",419,"Van",10,1,"female",28880,60,"Personal_vehicle",0.694444444444444
"180",426,"Car",25,15,"male",24000,28,"Personal_vehicle",1.73611111111111
"182",436,"Truck",15,10,"female",20000,61,"Personal_vehicle",1.04166666666667
"183",439,"Truck",60,50,"female",0,54,"Personal_vehicle",4.16666666666667
"184",443,"Car",10,7,"female",0,42,"Personal_vehicle",0.694444444444444
"185",447,"Car",1,1,"male",60000,59,"Personal_vehicle",0.0694444444444444
"187",457,"Car",20,11,"female",24700,47,"Personal_vehicle",1.38888888888889
"188",470,"Car",45,37,"male",20000,35,"Personal_vehicle",3.125
"189",473,"Car",5,5,"female",15600,62,"Personal_vehicle",0.347222222222222
"192",477,"Car",12,10,"male",6000,49,"Personal_vehicle",0.833333333333333
"193",478,"Truck",30,30,"male",0,59,"Personal_vehicle",2.08333333333333
"195",482,"Truck",30,15,"male",30000,49,"Personal_vehicle",2.08333333333333
"196",486,"Car",20,15,"male",0,57,"Personal_vehicle",1.38888888888889
"197",489,"Car",45,40,"female",33000,49,"Personal_vehicle",3.125
"199",499,"Car",5,5,"female",48000,41,"Personal_vehicle",0.347222222222222
"201",502,"Truck",90,20,"male",62500,52,"Personal_vehicle",6.25
"203",505,"Truck",45,30,"male",0,25,"Personal_vehicle",3.125
"204",507,"Truck",10,10,"male",65000,41,"Personal_vehicle",0.694444444444444
"205",511,"Truck",2,0,"male",58000,59,"Personal_vehicle",0.138888888888889
"206",512,"Truck",30,10,"female",0,50,"Personal_vehicle",2.08333333333333
"207",513,"Truck",180,121,"male",0,30,"Personal_vehicle",12.5
"208",514,"Car",5,2,"female",24000,55,"Personal_vehicle",0.347222222222222
"210",519,"Car",15,8,"female",0,18,"Personal_vehicle",1.04166666666667
"211",520,"Car",20,12,"male",0,73,"Personal_vehicle",1.38888888888889
"212",521,"Car",45,25,"female",15540,54,"Personal_vehicle",3.125
"213",522,"Truck",20,10,"female",11000,63,"Personal_vehicle",1.38888888888889
"214",523,"Car",25,15,"male",30000,27,"Personal_vehicle",1.73611111111111
"215",524,"Car",20,24,"female",7020,40,"Personal_vehicle",1.38888888888889
"216",525,"Van",30,18,"female",46000,32,"Personal_vehicle",2.08333333333333
"217",526,"Car",10,10,"male",50000,84,"Personal_vehicle",0.694444444444444
"218",532,"Car",15,10,"male",0,49,"Personal_vehicle",1.04166666666667
"220",535,"Truck",5,1,"male",80000,49,"Personal_vehicle",0.347222222222222
"221",536,"Car",15,15,"female",0,81,"Personal_vehicle",1.04166666666667
"222",537,"Car",25,15,"male",38000,44,"Personal_vehicle",1.73611111111111
"224",539,"Truck",5,2,"male",0,22,"Personal_vehicle",0.347222222222222
"226",544,"Truck",18,14,"male",25150,50,"Personal_vehicle",1.25
"227",546,"Truck",15,15,"female",16800,46,"Personal_vehicle",1.04166666666667
"228",547,"Car",40,31,"female",1200,18,"Personal_vehicle",2.77777777777778
"229",549,"Car",3,0,"male",179000,49,"Personal_vehicle",0.208333333333333
"230",551,"Truck",30,30,"female",0,68,"Personal_vehicle",2.08333333333333
"231",556,"Car",20,9,"male",60000,28,"Personal_vehicle",1.38888888888889
"234",562,"Truck",45,40,"female",0,19,"Personal_vehicle",3.125
"235",573,"Truck",35,25,"male",0,52,"Personal_vehicle",2.43055555555556
"236",574,"Car",10,2,"male",0,27,"Personal_vehicle",0.694444444444444
"237",577,"Car",8,10,"male",45000,55,"Personal_vehicle",0.555555555555556
"238",578,"Car",45,25,"female",35000,62,"Personal_vehicle",3.125
"239",579,"Truck",15,9,"female",0,17,"Personal_vehicle",1.04166666666667
"240",580,"Car",20,15,"male",125000,58,"Personal_vehicle",1.38888888888889
"241",584,"Car",15,10,"male",45000,58,"Personal_vehicle",1.04166666666667
"242",591,"Truck",5,3,"female",3000,44,"Personal_vehicle",0.347222222222222
"243",592,"Car",10,5,"female",0,24,"Personal_vehicle",0.694444444444444
